;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;время;          КЛ-10 кВ;;;;;;;;U;;;;;;;;
;;;№107;№207;;;;;;;;;;;;;;;
;;;A;A;;;;;;;;;;;;;;;
;;;"ЗАО
ВОРОНЕЖ
-ДОМ";"ЗАО
ВОРОНЕЖ
-ДОМ";;;;;;;;;;;;;;;
;;0;3;0;;;;;;;;;;;;;;;
;;1;3;0;;;;;;;;;;;;;;;
;;2;3;0;;;;;;;;;;;;;;;
;;3;3;0;;;;;;;;;;;;;;;
;;4;3;0;;;;;;;;;;;;;;;
;;5;3;0;;;;;;;;;;;;;;;
;;6;3;0;;;;;;;;;;;;;;;
;;7;3;0;;;;;;;;;;;;;;;
;;8;4,8;0;;;;;;;;;;;;;;;
;;9;3;0;;;;;;;;;;;;;;;
;;10;3;0;;;;;;;;;;;;;;;
;;11;3;0;;;;;;;;;;;;;;;
;;12;3;0;;;;;;;;;;;;;;;
;;13;4,8;0;;;;;;;;;;;;;;;
;;14;4,8;0;;;;;;;;;;;;;;;
;;15;5,4;0;;;;;;;;;;;;;;;
;;16;4,2;0;;;;;;;;;;;;;;;
;;17;4,2;0;;;;;;;;;;;;;;;
;;18;4,2;0;;;;;;;;;;;;;;;
;;19;4,2;0;;;;;;;;;;;;;;;
;;20;4,2;0;;;;;;;;;;;;;;;
;;21;4,2;0;;;;;;;;;;;;;;;
;;22;4,2;0;;;;;;;;;;;;;;;
;;23;4,2;0;;;;;;;;;;;;;;;
